,CODE,BASE_CURRENCY,QUOTE_CURRENCY,new
0,AUDUSD,AUD,USD,AUD-USD
1,AUDJPY,AUD,JPY,AUD-JPY
2,AUDNZD,AUD,NZD,AUD-NZD
3,AUDCAD,AUD,CAD,AUD-CAD
4,AUDCHF,AUD,CHF,AUD-CHF
5,CADJPY,CAD,JPY,CAD-JPY
6,CADCHF,CAD,CHF,CAD-CHF
7,CHFJPY,CHF,JPY,CHF-JPY
8,EURNOK,EUR,NOK,EUR-NOK
9,EURUSD,EUR,USD,EUR-USD
10,EURCHF,EUR,CHF,EUR-CHF
11,EURTRY,EUR,TRY,EUR-TRY
12,EURGBP,EUR,GBP,EUR-GBP
13,EURJPY,EUR,JPY,EUR-JPY
14,EURAUD,EUR,AUD,EUR-AUD
15,EURCAD,EUR,CAD,EUR-CAD
16,EURNZD,EUR,NZD,EUR-NZD
17,EURSEK,EUR,SEK,EUR-SEK
18,GBPJPY,GBP,JPY,GBP-JPY
19,GBPNZD,GBP,NZD,GBP-NZD
20,GBPAUD,GBP,AUD,GBP-AUD
21,GBPCHF,GBP,CHF,GBP-CHF
22,GBPUSD,GBP,USD,GBP-USD
23,GBPCAD,GBP,CAD,GBP-CAD
24,NZDCHF,NZD,CHF,NZD-CHF
25,NZDJPY,NZD,JPY,NZD-JPY
26,NZDUSD,NZD,USD,NZD-USD
27,NZDCAD,NZD,CAD,NZD-CAD
28,TRYJPY,TRY,JPY,TRY-JPY
29,USDHKD,USD,HKD,USD-HKD
30,USDNOK,USD,NOK,USD-NOK
31,USDSEK,USD,SEK,USD-SEK
32,USDZAR,USD,ZAR,USD-ZAR
33,USDMXN,USD,MXN,USD-MXN
34,USDTRY,USD,TRY,USD-TRY
35,USDCAD,USD,CAD,USD-CAD
36,USDCHF,USD,CHF,USD-CHF
37,USDJPY,USD,JPY,USD-JPY
38,USDCNH,USD,CNH,USD-CNH
39,ZARJPY,ZAR,JPY,ZAR-JPY
